Phrase	Grammar	Transcription	Translation	Notes
ἡ Ἀττάλεια, -ας	N		Attalia	
ἀσύνθετος, -ον	V		faithless, untrustworthy	
ἡ ἀσπίς, -ίδος	Adj		an asp	
ἀσχήμων, -ον	N		unseemly	
ἡ αὐγή, -ῆς	N		dawn	
αὐγάζω	N		to see, shine forth	
ἀσκέω	N		to practice, engage in	
ἄτομος, -ον	V		indivisible (moment)	
αὐθεντέω	N		to govern, exercise authority	
αὐτάρκης, -ες	V		content, self-sufficient, satisfied	
ἄσοφος, -ον	Adj		unwise, foolish	
αὐτοκατάκριτος, -ον	Adv		self-condemned	
ἄσιτος, -ον	N		without eating	
ὁ αὐτόπτης, -ου	V		an eyewitness	
ἀστατέω	N		to be unsettled, be homeless	
αὐτόφωρος, -ον	V		(caught) in the act	
ἀσώτως	N		wastefully, recklessly	
ὁ Aὐγοῦστος, -ου	V		Augustus	
ἀσμένως	Adj		gladly	
ὁ Ἀσύγκριτος, -ου	N		Asyncritus	
ἄτακτος, -ον	Adj		disorderly, unruly	
ἡ ἀσιτία, -ας	N		a lack of appetite	
ἀσύμφωνος, -ον	Adv		discordant, in disagreement	
ἄσπονδος, -ον	N		irreconcilable	
ἀτακτέω	N		to behave inappropriately	
ἄφαντος, -ον	V		invisible	
ὁ ἀφρός, -οῦ	N		foam, foaming	
ἡ ἀχλύς, -ύος	N		a mist, mistiness	
ἀψευδής, -ές	Adj		unable to lie, truthful, trustworthy	
ὁ ἀφανισμός, -οῦ	V		a vanishing	
ἀχρειόομαι	N		to make useless, become worthless	
αὐτόχειρ, -ος	N		with one's own hand	
ἡ ἀφελότης, -ητος	N		sincerity, simplicity, humility	
ὁ βαθμός, -οῦ	N		a step, grade	
τό βάϊον, -ου	Adj		a palm branch	
ἡ ἄφιξις, -εως	N		departure	
ἀφιλάγαθος, -ον	N		without love of good	
ἀφυπνόω	N		to fall asleep	
βαθύνω	Adj		to deepen, go down deep	
ὁ Βαλάκ	V		Balak	
ἡ ἀφειδία, -ας	N		unsparing treatment	
ἄψυχος, -ον	Adj		inanimate, lifeless	
αὐχμηρός, -α, -v	V		dark, gloomy	
ἀφικνέομαι	V		to reach, arrive at	
ὁ Ἀχαϊκός, -οῦ	N		Achaicus	
ἄχρηστος, -ον	V		useless, worthless	
ἀφανής, -ές	N		invisible, hidden	
ἡ ἀφθορία, -ας	N		soundness, purity	
αὐχέω	V		to boast	
ἀφομοιόω	V		to make like	
ὁ Βαράκ	N		Barak	
ὁ Βάαλ	N		Baal	
ὁ Βαραχίας, -ου	Adj		Barachiah	
Βαριωνᾶ	V		Barjona	
ὁ Βαριησοῦς, -οῦ	Adj		Bar-jesus	
ὁ βήρυλλος, -ου	Adj		beryl	
βασίλειος, -ον	Adj		royal	
Βεροιαῖος, -α, -ον	V		a Berean, a native of Berea	
βασίλειος, -ον	N		a palace	
βιβρώσκω	N		to eat, consume	
ἡ βελόνη, -ης	V		a needle	
ὁ Βαρτιμαῖος, -ου	N		Bartimaeus	
τό βλέμμα, -τος	N		a look, what is seen	
βδελυκτός, -ή, -όν	N		abhorrent, detestable	
ἡ Βηθζαθά	V		Bethzatha	
τό βέλος, -ους	V		an arrow	
ἡ βάσις, -εως	V		a foot	
ὁ βιαστής, -οῦ	N		a violent man	
βλαβερός, -ά, -όν	V		harmful	
ὁ βάτραχος, -ου	V		a frog	
ὁ Βλάστος, -ου	V		Blastus	
βατταλογέω	V		to use the same words again and again, stammer	
βαρύτιμος, -ον	N		very expensive, very precious	
βιόω	N		to live	
ὁ Βελιάρ	N		Beliar	
βασκαίνω	N		to bewitch	
βίαιος, -α, -ον	N		violent, forcible	
ἡ βίωσις, -εως	V		manner of life	
ὁ βασανιστής, -οῦ	Adj		a jailer, a torturer	
