Phrase	Grammar	Transcription	Translation	Notes
运用	yùnyòng	to put to use	HSK 5
在乎	zàihu	to care (about), to mind	HSK 5
在于	zàiyú	to lie in	HSK 5
赞成	zànchéng	to approve	HSK 5
赞美	zànměi	to praise, to speak highly of	HSK 5
造成	zàochéng	to create (a situation)	HSK 5
责备	zébèi	to blame	HSK 5
摘	zhāi	to take off an accessory; to pick (fruit, etc.)	HSK 5
占	zhàn	to occupy; to comprise	HSK 5
涨	zhǎng	to rise (of prices, water levels)	HSK 5
掌握	zhǎngwò	to master (a skill)	HSK 5
展开	zhǎnkāi	to unfold	HSK 5
粘贴	zhāntiē	to paste (text)	HSK 5
招待	zhāodài	to receive (guests)	HSK 5
着火	zháohuǒ	to ignite a fire	HSK 5
召开	zhàokāi	to convene (a conference or meeting)	HSK 5
着凉	zháoliáng	to get a chill	HSK 5
振动	zhèndòng	to vibrate	HSK 5
诊断	zhěnduàn	to diagnose	HSK 5
针对	zhēnduì	be aimed at	HSK 5
睁	zhēng	to open (one's eyes)	HSK 5
挣	zhēng	to struggle for, to vie for	HSK 5
争论	zhēnglùn	to argue, to debate	HSK 5
征求	zhēngqiú	to request (opinions, feedback etc)	HSK 5
争取	zhēngqǔ	to fight for	HSK 5
珍惜	zhēnxī	to cherish, to value	HSK 5
指导	zhǐdǎo	to guide, to direct	HSK 5
制定	zhìdìng	to make, to draft, to formulate	HSK 5
指挥	zhǐhuī	to conduct	HSK 5
治疗	zhìliáo	to treat (an illness)	HSK 5
制造	zhìzào	to manufacture	HSK 5
制作	zhìzuò	to make, to create, to manufacture	HSK 5
煮	zhǔ	to boil	HSK 5
抓	zhuā	to catch	HSK 5
抓紧	zhuājǐn	to grasp	HSK 5
转变	zhuǎnbiàn	to transform	HSK 5
撞	zhuàng	to crash (into)	HSK 5
装	zhuāng	to install; to pretend	HSK 5
转告	zhuǎngào	to deliver a message	HSK 5
装饰	zhuāngshì	to decorate	HSK 5
装修	zhuāngxiū	to renovate	HSK 5
专心	zhuānxīn	to be absorbed in	HSK 5
注册	zhùcè	to register	HSK 5
主持	zhǔchí	to host (an event)	HSK 5
主动	zhǔdòng	to take the initiative to (do something)	HSK 5
祝福	zhùfú	to wish someone well	HSK 5
追	zhuī	to pursue	HSK 5
追求	zhuīqiú	to pursue (a goal, a love interest, etc.)	HSK 5
主张	zhǔzhāng	to advocate, to stand for (a certain position)	HSK 5
咨询	zīxún	to consult	HSK 5
自愿	zìyuàn	to act voluntarily	HSK 5
总共	zǒnggòng	in total	HSK 5
综合	zōnghé	to consolidate	HSK 5
组成	zǔchéng	to form, to make up	HSK 5
组合	zǔhé	to combine	HSK 5
醉	zuì	to become intoxicated	HSK 5
尊敬	zūnjìng	to respect	HSK 5
遵守	zūnshǒu	to obey, to abide by (some rules)	HSK 5
作为	zuòwéi	to act as...	HSK 5
阻止	zǔzhǐ	to prevent, to block	HSK 5
组织	zǔzhī	to organize	HSK 5
