Phrase	Grammar	Transcription	Translation	Notes
ἐπεγείρω	V		to arouse, excite, stir up	
ὁ Ἐπαφρόδιτος, -ου	V		Epaphroditus	
ἐπιλύω	N		to explain, settle	
ἐπικατάρατος, -ον	Adj		cursed	
ἡ ἑρμηνεία, -ας	N		an interpretation	
ἡ ἐπιπόθησις, -εως	V		longing	
ἐπιδημέω	N		to visit; live in a place	
τό ἔριον, -ου	V		wool	
ἐπίσημος, -ον	N		splendid, outstanding, notorious	
ἐπισκοπέω	V		to look upon, oversee	
ἐποπτεύω	N		to observe, see	
ἐπιούσιος, -ον	N		for today, daily	
ἐπιλέγω	V		to call or name, choose	
ἐπιφέρω	Adj		to bring upon, inflict	
ἐπιφώσκω	N		to dawn, begin	
ἡ ἐπιείκεια, -ας	N		kindness, gentleness	
ἡ ἐπισυναγωγή, -ῆς	N		meeting, assembling	
ὁ ἔριφος, -ου	V		a young goat, kid	
ἡ ἐπιχορηγία, -ας	N		assistance, provision	
ἐπιχρίω	V		to anoint	
ἐπιρίπτω	N		to throw on, cast on	
ἐρεθίζω	N		to arouse, provoke, exasperate	
ἡ ἐπίστασις, -εως	N		pressure, attention	
εὐτόνως	Adj		vigorously, vehemently	
ἑτεροδιδασκαλέω	V		to teach a different or divisive doctrine	
ἡ εὐφροσύνη, -ης	N		gladness	
ζέω	V		to be fervent, to be hot	
εὐθύνω	N		to make straight	
ἡ ἐφημερία, -ας	N		a division, class (of temple priests)	
τό ζεῦγος, -ους	V		a yoke, team, pair	
ὁ Eὐφράτης, -ου	N		Euphrates, a river of Asia	
ὁ Ἑρμῆς, -οῦ	N		Hermes	
ἐφοράω	V		to gaze upon	
εὔκαιρος, -ον	N		timely	
ζωγρέω	N		to capture alive	
εὐσεβέω	N		to show piety or profound respect towards	
εὐσεβῶς	Adj		in a godly manner	
ἡ εὐλάβεια, -ας	V		awe, reverence, piety	
εὐθυδρομέω	V		to run a straight course	
ἡ εὐκαιρία, -ας	N		fitting time, favorable opportunity	
εὐκαίρως	N		in season, conveniently	
Ζεύς	N		Zeus	
τό ἔσοπτρον, -ου	Adv		a mirror	
ἡ Eὕα, -ας	Adj		Eve, the first woman	
ἐρυθρός, -ά, -όν	N		red	
ἐφικνέομαι	N		to reach	
ἡ εὐεργεσία, -ας	N		a good deed	
εὐνουχίζω	Adj		to make a eunuch of, castrate, emasculate	
εὔσπλαγχνος, -ον	N		tenderhearted	
ἐσώτερος, -α, -ον	V		within, inside (gen)	
ὁ Ἰεχονίας, -ου	N		Jechoniah	
ὁ Ἰάϊρος, -ου	V		Jairus	
τό ἡδύοσμον, -ου	Adj		mint	
ἱερός, -ά, -όν	V		holy, sacred	
ἱλαστήριος	N		means of expiation, place of propitiation	
ὁ θεριστής, -οῦ	N		a reaper, harvester	
ἱλάσκομαι	N		to propitiate, expiate	
ὁ Ἱεροσολυμίτης, -ου	V		an inhabitant of Jerusalem	
θάλπω	Adv		to cherish, comfort	
ὁ ἱλασμός, -οῦ	N		expiation, propitiation, sin-offering	
τό θαῦμα, -τος	N		a wonder, amazement	
ἡνίκα	V		when, at which time	
θριαμβεύω	Adv		to lead in a triumphal procession, to triumph over	
ἡττάομαι	Adj		to be overcome or defeated	
ἱκανόω	Pre		to make sufficient, qualify	
ἡ ἱερατεία, -ας	V		priestly office, priesthood	
ἥσσων, -ον	N		inferior, lesser	
ὁ ἧλος, -ου	V		a nail	
ἡ θυρίς, -ίδος	V		a window	
ἡγεμονεύω	Adv		to be governor, rule	
τό ἱεράτευμα, -τος	N		priesthood	
ἡσύχιος, -ον	V		quiet, tranquil	
ὁ Θαδδαῖος, -ου	N		Thaddaeus	
ὁ Θεόφιλος, -ου	V		Theophilus	
τό ἥττημα, -τος	V		loss, failure, defeat	
τό θυγάτριον, -ου	Adj		little daughter	
καθήκω	V		to be proper or fitting	
ὁ Καναναῖος, -ου	N		a Cananean	
κακουχέομαι	N		to maltreat, torment	
κατακλάω	V		to break in pieces	
ὁ Ἰούλιος, -ου	V		Julius	
ὁ Καϊνάμ	V		Cainan	
ἡ Ἰωάννα, -ας	N		Joanna	
ἱματίζω	N		to dress, clothe	
ἵλεως, -ων	N		gracious, merciful	
καίτοι	V		yet, although	
ὁ Ἰωσίας, -ου	N		Josiah	
καμμύω	V		to close (the eyes)	
κάμνω	V		to be weary, ill	
ὁ καθηγητής, -οῦ	N		a teacher, leader	
τό ἰχθύδιον, -ου	V		a small fish	
ἡ ἶρις, -ιδος	N		a rainbow	
ὁ Ἰωράμ	V		Joram	
ὁ ἱππεύς, -έως	V		a horseman, cavalryman	
καταδυναστεύω	V		to oppress	
ἡ Καππαδοκία, -ας	Adj		Cappadocia	
ὁ Ἰωαθάμ	N		Jotham	
καταβάλλω	N		to strike down, found, lay (a foundation)	
ὁ Ἰωσαφάτ	V		Josaphat	
ὁ καρδιογνώστης, -ου	V		a knower of hearts	
καταδουλόω	Adj		to enslave	
ὁ Ἰουδαϊσμός, -οῦ	V		Judaism	
ἡ καινότης, -ητος	Adj		newness	
τό κεφάλαιον, -ου	V		main thing, main point, sum of money	
κατεξουσιάζω	N		to exercise authority over	
ἡ κατασκήνωσις, -εως	V		a place to live, nest	
κιθαρίζω	N		to play the lyre, harp	
καταποντίζομαι	V		to drown, sink	
καυσόομαι	N		to burn with great heat	
καταστρέφω	V		to overturn , destroy, ruin	
καταχράομαι	N		to make full use of	
κατακολουθέω	N		to follow after	
κατακλείω	V		to shut up, lock up	
ἡ καταστροφή, -ῆς	V		ruin, destruction	
καταστέλλω	N		to restrain, quiet	
ὁ κιθαρῳδός, -οῦ	V		a lyre-player, harpist	
τό κεράμιον, -ου	V		an earthen vessel, jar	
ἡ Κεγχρεαί, -ῶν	V		Cenchreae	
τό καῦμα, -τος	N		burning, heat	
ἡ κατάσχεσις, -εως	V		possession, a holding fast	
κατασκάπτω	Adj		to tear down, demolish	
καταπονέω	N		to wear down, oppress	
καταφεύγω	V		to flee , take refuge	
καταχέω	N		to pour out, down, over	
ἡ κατάκρισις, -εως	N		condemnation	
ἡ κενοφωνία, -ας	V		chatter, empty talk	
ἡ καταλαλιά, -ᾶς	Part		evil speech, slander	
κατατίθημι	Adj		to lay (down), place	
τό κατοικητήριον, -ου	V		dwelling, dwelling-place	
ἡ κεραία, -ας	V		a projection, hook, stroke	
ἡ κλοπή, -ῆς	V		a theft	
κομάω	Adj		to have long hair	
ὁ κρύσταλλος, -ου	N		a rock-crystal	
ὁ κοδράντης, -ου	N		a quadrans (penny)	
ὁ κυβερνήτης, -ου	Adv		a shipmaster, pilot	
κρέας, -κρέατος	Adj		meat	
ὁ Κρής, -ητός	Adj		a Cretan	
κονιάω	N		to whitewash	
ὁ κλύδων, -ωνος	V		rough water, a wave	
ὁ Κορίνθιος, -ου	V		a Corinthian	
ὁ Κρίσπος, -ου	V		Crispus	
κολάζω	V		to penalize, punish	
κόσμιος, -ον	Adj		respectable, appropriate	
ὁ κλίβανος, -ου	N		an oven, furnace	
τό κλινίδιον, -ου	N		a small bed, cot	
κορέννυμι	N		to satiate, fill	
κοσμικός, -ή, -όν	N		earthly, worldly	
κρίθινος, -η, -ον	Adj		made of barley flour	
κύπτω	V		to bend (oneself) down, stoop	
ἡ κόλασις, -εως	N		punishment	
τό κρίνον, -ου	V		a lily	
ἡ κλάσις, -εως	V		breaking, fracturing	
κρυφαῖος, -α, -ον	N		hidden, private	
ἡ κυρία, -ας	V		lady, mistress	
ὁ Λυσίας, -ου	V		Lysias	
κυρόω	V		to confirm, ratify, validate	
τό λουτρόν, -οῦ	Adj		a bath, washing	
λευκαίνω	N		to make white	
τό λύτρον, -ου	V		the price of release, ransom	
ὁ λογισμός, -οῦ	V		reasoning, reflection, thought	
λογικός, -ή, -όν	V		thoughtful, reasonable	
ὁ λίβανος, -ου	V		(the) Lebanon	
ἡ Λυδία, -ας	N		Lydia	
ὁ λοίδορος, -ου	V		a reviler, abusive person	
λεμα	V		why?	
λατομέω	V		to hew out of a rock	
ὁ Λούκιος, -ου	Adj		Lucius	
τό λέντιον, -ου	V		linen cloth, towel	
Μαθθάτ	Adv		Matthat	
τό λίνον, -ου	N		a lamp-wick, linen garment	
μάτην	Adj		in vain, to no end	
κυριακός, -ή, -όν	N		the Lord's	
ὁ Μαθθίας, -ου	N		Matthias	
ὁ λιβανωτός, -οῦ	V		incense, censer	
μακαρίζω	Adj		to consider blessed, happy	
ὁ Ματθάν	N		Matthan	
ἡ λογεία, -ας	V		a collection	
ὁ λοιμός, -οῦ	N		pestilence, plague	
λικμάω	N		to crush, scatter	
ἡ λίτρα, -ας	N		a (Roman) pound	
μονόφθαλμος, -ον	N		one-eyed	
ὁ μίσθιος, -ου	N		day laborer, hired servant	
ἡ νάρδος, -ου	N		spikenard, oil of nard	
ἡ Μυσία, -ας	V		Mysia	
ἡ μεθοδεία, -ας	N		scheming, craftiness	
μεταίρω	N		to go away, depart	
ὁ Ματταθίας, -ου	V		Mattathias	
μετάγω	Adj		to guide, direct	
ἡ μονή, -ῆς	Adj		a dwelling-place, abode, room	
μέμφομαι	Adj		to find fault with, blame	
μεταστρέφω	Adj		to change, turn (about), distort	
μήπω	N		not yet	
ὁ Μιχαήλ	V		Michael	
ἡ μεσημβρία, -ας	N		midday, noon, the south	
μωμάομαι	Adj		to find fault with, criticize, blame	
ναυαγέω	N		to suffer shipwreck	
μελετάω	N		to take care, take pains with	
μηδαμῶς	N		by no means, no	
ὁ μερισμός, -οῦ	N		a division, distribution	
μετοικίζω	V		to remove to another place of habitation, resettle	
μεταλλάσσω	Adv		to exchange	
ἡ μήτρα, -ας	N		the womb	
ὁ Μεσσίας, -ου	N		the Messiah, Anointed One	
ἡ Μεσοποταμία, -ας	V		Mesopotamia	
μισθόω	V		to hire	
ὁ μέθυσος, -ου	Adj		a drunkard	
ὁ Μελχί	N		Melchi	
ἡ μόρφωσις, -εως	Adj		embodiment, form	
ὁλόκληρος, -ον	N		whole, complete	
ξύλινος, -η, -ον	N		wooden	
ὁμοιοπαθής, -ές	V		with the same nature	
ὀγδοήκοντα	V		eighty	
ὁ ὀδυρμός, -οῦ	Adj		lamentation, mourning	
ἡ ὀδύνη, -ης	V		pain, grief , sorrow	
νεύω	N		to nod, beckon (as a sign)	
νωθρός, -ά, -όν	V		lazy, sluggish, dull	
ὁ ναύτης, -ου	V		a sailor	
ἡ νομή, -ῆς	Adj		a pasture, spreading	
νομοθετέομαι	N		to legislate, make law	
ὁ οἰνοπότης, -ου	N		a drunkard	
ὁ οἰκιακός, -οῦ	V		member of a household	
νῆστις, -ιδος	V		not eating, hungry	
τό ὄμμα, -τος	V		an eye	
νυστάζω	V		to become drowsy, doze	
οἰκτίρω	N		to have compassion	
ὁ Νικολαϊτης, -ου	V		Nicolaitan	
νήθω	N		to spin	
